Comment,Quantity,Price,Link
1uF,20,$0.61,https://jlcpcb.com/partdetail/MurataElectronics-GRM033R61A105ME44D/C76935
10uf,20,$0.59,https://jlcpcb.com/partdetail/2043-CL10A106MQ8NNNC/C1691
10uF,20,$0.59,https://jlcpcb.com/partdetail/2043-CL10A106MQ8NNNC/C1691
33pF,20,$0.11,https://jlcpcb.com/partdetail/MurataElectronics-GRM0335C1H330JA01D/C76925
0.1uF,26,$0.15,https://jlcpcb.com/partdetail/270391-0201X104K100NT/C284966
0.1uf,26,$0.15,https://jlcpcb.com/partdetail/270391-0201X104K100NT/C284966
100nf,20,$0.15,https://jlcpcb.com/partdetail/MurataElectronics-GRM033R61A104KE15D/C76934
LED,10,$0.68,https://jlcpcb.com/partdetail/XINGLIGHT-XL0201SURC/C3646923
USB_C_Receptacle_USB2.0_16P,2,$4.08,https://jlcpcb.com/partdetail/XKBConnection-USB31_TYPE_CFSABC/C2880583
33R,20,$0.06,https://jlcpcb.com/partdetail/416306-0201WMJ0330TEE/C423356
50K,6,$0.76,https://jlcpcb.com/partdetail/10622-GL3549/C10083
1K,22,$0.06,https://jlcpcb.com/partdetail/259895-0201WMF1001TEE/C270365
SW_Push,5,$1.86,https://jlcpcb.com/partdetail/Korean_HropartsElec-K5_1672SN01/C502360
MCP1700x-330xxTT,2,$1.03,https://jlcpcb.com/partdetail/MicrochipTech-MCP1700_3002ETO/C185558
MPU-6050,2,$26.80,https://jlcpcb.com/partdetail/TDKInvenSense-MPU6050/C24112
BMP280,2,$25.58,https://jlcpcb.com/partdetail/BoschSensortec-BMP280/C83291
12MHz,5,$1.27,https://jlcpcb.com/partdetail/NDK-NX3225GA_12MHZ_STD_CRG2/C481407
10K,0,$0.00,https://jlcpcb.com/partdetail/FOJAN-FRC0201J103TS/C7467266
RP2040,0,$0.00,https://jlcpcb.com/partdetail/RaspberryPi-RP2040/C2961140
W25Q16JVUXIQTR,0,$0.00,https://jlcpcb.com/partdetail/WinbondElec-W25Q16JVUXIQTR/C5333738
Conn_01x20,0,$0.00,
Conn_01x03,0,$0.00,
PCB Fabrication (5 pcs),1,$4.00,
PCBA Setup Fee,1,$25.56,
PCBA Stencil Fee,1,$8.21,
Feeders Loading Fee,1,$19.89,
SMT Assembly Fee,1,$0.76,
Hand-soldering Labor Fee,1,$3.58,
Manual Assembly Fee,1,$0.64,
PCB Assembly Fixture,1,$16.42,
Packaging Fee,1,$0.49,
Special Components Fee,1,$0.06,
Shipping Fee,1,$11.68,
Total,,$155.82,
